solver : FVM, forward_euler, dt : 0.002 , h : 0.1 , error : 0.00209325
solver : FVM, forward_euler, dt : 0.0005 , h : 0.05 , error : 0.000770667
solver : FVM, forward_euler, dt : 0.000125 , h : 0.025 , error : 0.000254007
solver : FVM, forward_euler, dt : 3.125e-05 , h : 0.0125 , error : 0.000347975
solver : FVM, forward_euler, dt : 7.8125e-06 , h : 0.00625 , error : 0.000102456
solver : FVM, forward_euler, dt : 1.95313e-06 , h : 0.003125 , error : 6.04266e-05


solver : FVM, backward_euler, dt : 0.01 , h : 0.1 , error : 0.00195943
solver : FVM, backward_euler, dt : 0.0025 , h : 0.05 , error : 0.000762291
solver : FVM, backward_euler, dt : 0.000625 , h : 0.025 , error : 0.000267687
solver : FVM, backward_euler, dt : 0.00015625 , h : 0.0125 , error : 0.00034744
solver : FVM, backward_euler, dt : 3.90625e-05 , h : 0.00625 , error : 0.000102431

solver : FVM, backward_euler, dt : 0.1 , h : 0.1 , error : 0.00323891
solver : FVM, backward_euler, dt : 0.05 , h : 0.05 , error : 0.0015052
solver : FVM, backward_euler, dt : 0.025 , h : 0.025 , error : 0.000696725
solver : FVM, backward_euler, dt : 0.0125 , h : 0.0125 , error : 0.000491387
solver : FVM, backward_euler, dt : 0.00625 , h : 0.00625 , error : 0.000202251
solver : FVM, backward_euler, dt : 0.003125 , h : 0.003125 , error : 0.000105594

solver : FDM, forward_euler, dt : 0.0025 , h : 0.1 , error : 0.00253269
solver : FDM, forward_euler, dt : 0.000625 , h : 0.05 , error : 0.000815214
solver : FDM, forward_euler, dt : 0.00015625 , h : 0.025 , error : 0.000314908
solver : FDM, forward_euler, dt : 3.90625e-05 , h : 0.0125 , error : 0.000279577
solver : FDM, forward_euler, dt : 9.76563e-06 , h : 0.00625 , error : 8.97258e-05
solver : FDM, forward_euler, dt : 2.44141e-06 , h : 0.003125 , error : 4.42347e-05


solver : FDM, backward_euler, dt : 0.01 , h : 0.1 , error : 0.00278161
solver : FDM, backward_euler, dt : 0.0025 , h : 0.05 , error : 0.0008756
solver : FDM, backward_euler, dt : 0.000625 , h : 0.025 , error : 0.000327049
solver : FDM, backward_euler, dt : 0.00015625 , h : 0.0125 , error : 0.000281006
solver : FDM, backward_euler, dt : 3.90625e-05 , h : 0.00625 , error : 9.00173e-05

solver : FDM, backward_euler, dt : 0.1 , h : 0.1 , error : 0.00299266
solver : FDM, backward_euler, dt : 0.05 , h : 0.05 , error : 0.00140778
solver : FDM, backward_euler, dt : 0.025 , h : 0.025 , error : 0.00071707
solver : FDM, backward_euler, dt : 0.0125 , h : 0.0125 , error : 0.000437429
solver : FDM, backward_euler, dt : 0.00625 , h : 0.00625 , error : 0.000195115
solver : FDM, backward_euler, dt : 0.003125 , h : 0.003125 , error : 9.82165e-05




